Date : 2020-04-07 15:04:19
Directory : e:\WORK\Rtis-Vutfify
Total : 476 files,  124316 codes, 14969 comments, 13838 blanks, all 153123 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\WORK\Rtis-Vutfify\src\plugins\chartist.js                                                              | JavaScript |          3 |          0 |          1 |          4 |
| e:\WORK\Rtis-Vutfify\src\plugins\index.js                                                                 | JavaScript |          2 |          0 |          2 |          4 |
| e:\WORK\Rtis-Vutfify\src\plugins\theme.js                                                                 | JavaScript |         10 |          0 |          1 |         11 |
| e:\WORK\Rtis-Vutfify\src\plugins\vuetify.ts                                                               | TypeScript |         10 |          1 |          2 |         13 |
| e:\WORK\Rtis-Vutfify\src\registerServiceWorker.ts                                                         | TypeScript |         29 |          1 |          3 |         33 |
| e:\WORK\Rtis-Vutfify\src\router.ts                                                                        | TypeScript |         20 |          3 |          3 |         26 |
| e:\WORK\Rtis-Vutfify\src\router\before-close.js                                                           | JavaScript |         15 |          0 |          3 |         18 |
| e:\WORK\Rtis-Vutfify\src\router\index.ts                                                                  | TypeScript |         53 |          2 |          5 |         60 |
| e:\WORK\Rtis-Vutfify\src\router\router.ts                                                                 | TypeScript |        169 |         14 |         24 |        207 |
| e:\WORK\Rtis-Vutfify\src\shims-tsx.d.ts                                                                   | TypeScript |         13 |          2 |          3 |         18 |
| e:\WORK\Rtis-Vutfify\src\shims-vue.d.ts                                                                   | TypeScript |          4 |          0 |          1 |          5 |
| e:\WORK\Rtis-Vutfify\src\store.ts                                                                         | TypeScript |         11 |          0 |          6 |         17 |
| e:\WORK\Rtis-Vutfify\src\store\entities\arrangement\arrangement.ts                                        | TypeScript |          8 |          5 |          7 |         20 |
| e:\WORK\Rtis-Vutfify\src\store\entities\arrangement\arrangementFormItem.ts                                | TypeScript |         16 |          0 |          1 |         17 |
| e:\WORK\Rtis-Vutfify\src\store\entities\arrangement\arrangementTable.ts                                   | TypeScript |          4 |          0 |          3 |          7 |
| e:\WORK\Rtis-Vutfify\src\store\entities\arrangement\arrangementlist.ts                                    | TypeScript |          7 |          0 |          2 |          9 |
| e:\WORK\Rtis-Vutfify\src\store\entities\arrangement\getArrangement.ts                                     | TypeScript |         22 |          0 |          7 |         29 |
| e:\WORK\Rtis-Vutfify\src\store\entities\arrangement\patientInfo.ts                                        | TypeScript |         15 |          0 |          1 |         16 |
| e:\WORK\Rtis-Vutfify\src\store\entities\arrangement\rtisDictList.ts                                       | TypeScript |          4 |          0 |          3 |          7 |
| e:\WORK\Rtis-Vutfify\src\store\entities\entity.ts                                                         | TypeScript |          3 |          0 |          0 |          3 |
| e:\WORK\Rtis-Vutfify\src\store\entities\home.ts                                                           | TypeScript |         74 |          0 |         12 |         86 |
| e:\WORK\Rtis-Vutfify\src\store\entities\location1\ctsimOrder.ts                                           | TypeScript |         21 |          0 |          1 |         22 |
| e:\WORK\Rtis-Vutfify\src\store\entities\location1\locationList.ts                                         | TypeScript |          4 |         38 |          4 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\location1\patient.ts                                              | TypeScript |          0 |         28 |          2 |         30 |
| e:\WORK\Rtis-Vutfify\src\store\entities\location1\registration.ts                                         | TypeScript |          0 |         17 |          3 |         20 |
| e:\WORK\Rtis-Vutfify\src\store\entities\location1\sdto.ts                                                 | TypeScript |         24 |          0 |          1 |         25 |
| e:\WORK\Rtis-Vutfify\src\store\entities\locationList.ts                                                   | TypeScript |          4 |         38 |          4 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\page-request.ts                                                   | TypeScript |          9 |          0 |          0 |          9 |
| e:\WORK\Rtis-Vutfify\src\store\entities\page-result.ts                                                    | TypeScript |          4 |          0 |          0 |          4 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patient.ts                                                        | TypeScript |         49 |         45 |         13 |        107 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment.ts                                               | TypeScript |          4 |         38 |          4 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatmentList.ts                                           | TypeScript |          4 |         38 |          4 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\ImperilListDto.ts                                | TypeScript |          9 |          0 |          6 |         15 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\TargetListDto.ts                                 | TypeScript |         11 |          0 |          4 |         15 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\chest.ts                                         | TypeScript |         24 |         12 |          9 |         45 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\consent\consent.ts                               | TypeScript |         10 |          0 |          3 |         13 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\ctsimOrders.ts                                   | TypeScript |          9 |          0 |          3 |         12 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\diagnosis.ts                                     | TypeScript |          9 |          0 |          1 |         10 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\diagnosisSets.ts                                 | TypeScript |          5 |          0 |          3 |          8 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\header.ts                                        | TypeScript |         24 |          0 |         10 |         34 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\headerPatientInfo.ts                             | TypeScript |         15 |          0 |          2 |         17 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\hospitalizedScoreDiagnosis.ts                    | TypeScript |         10 |          0 |          0 |         10 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\medicalOrder.ts                                  | TypeScript |         19 |          0 |          4 |         23 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\pathologyDiagnosis.ts                            | TypeScript |          9 |          0 |          0 |          9 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\patient.ts                                       | TypeScript |         37 |         34 |          2 |         73 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\patientDiagnosis.ts                              | TypeScript |         12 |          0 |          0 |         12 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\patientResource.ts                               | TypeScript |          9 |          0 |          3 |         12 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\patientTreatment.ts                              | TypeScript |          4 |         38 |          4 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\patientTreatmentDetail.ts                        | TypeScript |          7 |          0 |          0 |          7 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\patientTreatmentList.ts                          | TypeScript |          4 |         38 |          4 |         46 |
